Marka	Grad	Cena	Godina proizvodnje	Karoserija	Gorivo	Zapremina motora	Kilometraza	Konjske snage	Menjac
BMW	Inđija	42300	2023	Limuzina	Dizel	1995	60000.0	190	Automatski
BMW	Novi Sad	8150	2013	Hečbek	Benzin	1598	257000.0	136	Automatski
Fiat	Knić	1400	2007	Hečbek	Benzin	1242	260000.0	60	Manuelni
BMW	Zvezdara	14400	2012	Limuzina	Dizel	163	259851.0	163	Automatski
Opel	Pirot	3000	2007	Kupe	Dizel	1700	235000.0	101	Manuelni
Renault	Beograd	16699	2022	Džip/SUV	Benzin	999	61890.0	91	Manuelni
Škoda	Beograd	10500	2015	Limuzina	Dizel	1968	301000.0	139	Manuelni
Peugeot	Novi Sad	14890	2021	Džip/SUV	Dizel	1499	167000.0	110	Manuelni
Seat	Novi Pazar	2399	2002	Monovolumen (MiniVan)	Dizel	1896	241905.0	116	Manuelni
Škoda	Vršac	14100	2022	Limuzina	Benzin + Gas (TNG)	999	211638.0	110	Manuelni
Opel	Jagodina	1800	2005	Hečbek	Dizel	1686	220000.0	80	Manuelni
Hyundai	Beograd	9500	2012	Džip/SUV	Dizel	1685	225000.0	116	Manuelni
Chevrolet	Jagodina	3500	2010	Hečbek	Benzin	995	115000.0	65	Manuelni
Opel	Bačka Topola	5600	2014	Monovolumen (MiniVan)	Benzin + Gas (TNG)	1364	204300.0	120	Manuelni
Peugeot	Niš	5999	2011	Limuzina	Benzin	1598	182450.0	156	Manuelni
Citroen	Jagodina	11550	2021	Džip/SUV	Benzin	1199	137368.0	110	Manuelni
Audi	Aleksinac	12800	2011	Džip/SUV	Dizel	1968	218000.0	170	Automatski
Renault	Ugrinovci	6199	2015	Hečbek	Dizel	1461	172238.0	75	Manuelni
MINI	Smederevska Palanka	8000	2013	Hečbek	Dizel	1995	189000.0	143	Automatski
Volkswagen	Novi Pazar	6799	2012	Hečbek	Dizel	1598	246771.0	105	Manuelni
Volkswagen	Zemun	4650	2008	Pickup	Benzin + Metan (CNG)	1984	356000.0	109	Manuelni
Volkswagen	Smederevo	7700	2011	Limuzina	Dizel	1598	213000.0	105	Manuelni
Opel	Beograd	1400	2003	Monovolumen (MiniVan)	Dizel	1686	217000.0	75	Manuelni
Mercedes Benz	Novi Banovci	2550	2002	Džip/SUV	Dizel	2685	280000.0	163	Automatski
Renault	Obrenovac	4650	2011	Kupe	Dizel	1461	274100.0	106	Manuelni
Audi	Kruševac	8000	2011	Karavan	Benzin	1798	192000.0	160	Automatski
Kia	Železnik	1850	2006	Hečbek	Benzin	999	144500.0	63	Manuelni
